W/L,Method,Frequency,Weight Class,Round of Comp.,Year
W,Bread Slicer,1,94KG,SF,2017
W,Calf Slicer,1,ABS,8F,2009
W,Choke F/ Omoplata,1,76KG,SF,2014
W,Copacabana Choke,1,77KG,SF,2000
W,Crucifix Choke,1,ABS,R1,2006
W,Flying Armbar,1,94KG,SF,2012
W,Gogoplata,1,O99KG,F,2013
W,Guillotina,1,ABS,R1,2017
W,Inside Heel Hook,1,77KG,SF,2007
W,Kimura/Triangle,1,ABS,R1,2015
W,Knee Ride,1,O100KG,F,2002
W,Monoplata,1,76KG,4F,2014
W,Mounted Triangle,1,88KG,R1,2013
W,Shoulder Lock,1,82KG,R2,2012
W,Standing Brabo Ck,1,64KG,SF,2012
W,Straight Ankle Lock,1,66KG,4F,2001
W,Straight Armlock,1,ABS,SF,2005
W,Triangle-Armbar,1,88KG,3PLC,2005
W,Violin Armlock,1,O83KG,SF,2018
W,Anaconda,2,ABS,GP,2007
W,Anaconda,2,66KG,4F,2009
W,Arm In Guillotine,2,ABS,SPF,2016
W,Arm In Guillotine,2,76KG,R2,2018
W,Choke From Mount,2,82KG,R2,2012
W,Choke From Mount,2,94KG,R2,2012
W,Collar Choke,2,70KG,4F,2012
W,Collar Choke,2,70KG,4F,2012
W,Dogbar,2,ABS,R2,2016
W,Dogbar,2,ABS,4F,2016
W,Estima Lock,2,88KG,SF,2009
W,Estima Lock,2,82KG,8F,2015
W,Knee On Belly,2,ABS,4F,2003
W,Knee On Belly,2,88KG,R2,2010
W,Lapel Choke,2,64KG,SF,2012
W,Lapel Choke,2,ABS,F,2015
W,Leglock,2,66KG,F,1999
W,Leglock,2,ABS,R2,2012
W,Bread Cutter,3,94KG,R1,2009
W,Bread Cutter,3,ABS,F,2015
W,Bread Cutter,3,94KG,RPC,2017
W,Footlock,3,ABS,SF,1998
W,Footlock,3,88KG,SF,1998
W,Footlock,3,O100KG,F,2010
W,Inverted Armbar,3,88KG,SF,1996
W,Inverted Armbar,3,88KG,4F,2012
W,Inverted Armbar,3,O100KG,4F,2014
W,Short Choke,3,73KG,SPF,2017
W,Short Choke,3,88KG,E1,2017
W,Short Choke,3,82KG,SF,2019
W,Shoulder Pressure,3,88KG,4F,2010
W,Shoulder Pressure,3,O79KG,F,2011
W,Shoulder Pressure,3,ABS,SF,2019
W,Amassa Pao Choke,4,ABS,SF,2014
W,Amassa Pao Choke,4,88KG,F,2014
W,Amassa Pao Choke,4,85KG,R1,2015
W,Amassa Pao Choke,4,ABS,8F,2017
W,Armbar,223,68KG,F,2005
W,Armbar,223,85KG,R1,2016
W,Armbar,223,82KG,R2,2017
W,Armbar,223,76KG,R1,2018
W,Darce Choke,4,70KG,SF,2007
W,Darce Choke,4,70KG,SF,2007
W,Darce Choke,4,88KG,4F,2009
W,Darce Choke,4,O60KG,4F,2013
W,Flying Triangle,4,82KG,F,2004
W,Flying Triangle,4,68KG,SF,2005
W,Flying Triangle,4,88KG,4F,2007
W,Flying Triangle,4,82KG,F,2017
